taxa,date,full_location,jurisdiction,country,outbreak,region
CHIKV|FR717336|IMTSSA6424S|FranceLa_Reunion|2005-12-26,2005-12-26,La_Reunion|France,France,La_Reunion,Other,Indian_Ocean_islands
CHIKV|MH423806|106_16_S75|Mandera|Kenya|2016-06-01,2016-06-01,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|MH423800|058_16_S33|Mandera|Kenya|2016-05-31,2016-05-31,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|MH423798|031_16_S65|Mandera|Kenya|2016-05-08,2016-05-08,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|MH423805|100_16_S56|Mandera|Kenya|2016-06-01,2016-06-01,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|MH423801|063_16_S44|Mandera|Kenya|2016-05-31,2016-05-31,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|MH423804|087_16_S34|Mandera|Kenya|2016-06-01,2016-06-01,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|MH423799|057_16_S15|Mandera|Kenya|2016-05-31,2016-05-31,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|MH423803|086_16_S25|Mandera|Kenya|2016-05-31,2016-05-31,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|MH423797|027_16_S43|Mandera|Kenya|2016-05-07,2016-05-07,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|MH423802|068_16_S55|Mandera|Kenya|2016-05-31,2016-05-31,Mandera|Kenya,Kenya,Kenya,Other,Africa
CHIKV|KP702297|Com5|Comoros_Grande_Island|2005,2005,Grande_Island|Comoros,Comoros,Comoros,Other,Indian_Ocean_islands
CHIKV|314|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|123|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|117|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|160|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|141|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|322|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|122|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|306|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|307|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|110|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|163|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|313|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|317|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|321|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|323|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|112|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|334|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|330|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|335|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|114|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|126|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|104|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|150|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|151|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|152|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|153|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|161|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|167|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|181|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|186|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|318|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|196|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|155|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|144|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|325|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|337|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|195|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|156|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|142|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|201|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|118|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|308|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|332|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|116|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|312|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|154|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|176|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|320|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|200|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|128|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|177|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|316|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|103|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|329|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|182|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|170|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|333|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|174|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|178|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|305|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|132|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|189|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|143|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|180|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|129|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|309|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|171|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|327|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|125|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|199|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|336|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|130|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|183|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|162|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|310|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|338|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|172|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|138|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|127|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|140|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|324|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|328|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|166|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|179|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|165|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|307.2|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|326|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|184|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|159|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|311|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|124|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|319|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|157|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|KU365371|CS0056|Bangladesh_Shibganj|2011-11,2011-11,Shibganj|Bangladesh,Bangladesh,Bangladesh,Other,Indian_subcontinent
CHIKV|KU365370|DOH013|Bangladesh_Dohar|2011-11,2011-11,Dohar|Bangladesh,Bangladesh,Bangladesh,Other,Indian_subcontinent
CHIKV|FJ445511|SGEHICHD13508|Singapore|2008-01,2008-01,Singapore,Singapore,Singapore,Other,Southeast_Asia
CHIKV|FJ445433|SGEHICHS422808|Singapore|2008-08,2008-08,Singapore,Singapore,Singapore,Other,Southeast_Asia
CHIKV|FJ513679|LKEHCH20108|Sri_Lanka|2008-04,2008-04,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|KJ796846|RGCB755_09|India_Chaliyum_Kozhikkode_Kerala_State|2009-08-18,2009-08-18,Chaliyum_Kozhikkode_Kerala_State|India,India,India,Other,Indian_subcontinent
CHIKV|KJ796845|RGCB729_09|India_Baypore_Kozhikkode_Kerala_State|2009-08-04,2009-08-04,Baypore_Kozhikkode_Kerala_State|India,India,India,Other,Indian_subcontinent
CHIKV|KJ796844|RGCB730_09|India_Baypore_Kozhikkode_Kerala_State|2009-08-04,2009-08-04,Baypore_Kozhikkode_Kerala_State|India,India,India,Other,Indian_subcontinent
CHIKV|JN558836|SVUKDP-09|India_Andhra_Pradesh_Kadapa|2009,2009,Andhra_Pradesh_Kadapa|India,India,India,Other,Indian_subcontinent
CHIKV|JN558835|SVUKDP-08|India_Andhra_Pradesh_Kadapa|2008,2008,Andhra_Pradesh_Kadapa|India,India,India,Other,Indian_subcontinent
CHIKV|JN558834|SVUCTR-09|India_Andhra_Pradesh_Chittoor|2009,2009,Andhra_Pradesh_Chittoor|India,India,India,Other,Indian_subcontinent
CHIKV|JF274082|IND-06-Guj|India_Gujarat|2006-09-27,2006-09-27,Gujarat|India,India,India,Other,Indian_subcontinent
CHIKV|GU189061|SL15649|Sri_Lanka|2006,2006,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|GU013528|LKPBchik3408|Sri_Lanka|2008-03,2008-03,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|GU013529|LKPBchik6008|Sri_Lanka|2008-03,2008-03,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|GU013530|LKEHchik19708|Sri_Lanka|2008-04,2008-04,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|GQ428215|RGCB356_KL08|India|2008-05-29,2008-05-29,India,India,India,Other,Indian_subcontinent
CHIKV|GQ428214|RGCB355_KL08|India|2008-06-29,2008-06-29,India,India,India,Other,Indian_subcontinent
CHIKV|GQ428213|RGCB120_KL07|India|2007-07-13,2007-07-13,India,India,India,Other,Indian_subcontinent
CHIKV|GQ428212|RGCB80_KL07|India|2007-07-12,2007-07-12,India,India,India,Other,Indian_subcontinent
CHIKV|GQ428211|RGCB05_KL06|India|2006-10-07,2006-10-07,India,India,India,Other,Indian_subcontinent
CHIKV|GQ428210|RGCB03_KL06|India|2006-10-07,2006-10-07,India,India,India,Other,Indian_subcontinent
CHIKV|FR717337|IMTSSA6424C|FranceLa_Reunion|2005-12-26,2005-12-26,La_Reunion|France,France,La_Reunion,Other,Indian_Ocean_islands
CHIKV|FR717336|IMTSSA6424S|FranceLa_Reunion|2005-12-26_2,2005-12-26,La_Reunion|France,France,La_Reunion,Other,Indian_Ocean_islands
CHIKV|FN295485|MY_08_065|MalaysiaJohor|2008,2008,Johor|Malaysia,Malaysia,Malaysia,Other,Southeast_Asia
CHIKV|FN295487|MY_08_068|MalaysiaJohor|2008,2008,Johor|Malaysia,Malaysia,Malaysia,Other,Southeast_Asia
CHIKV|FJ959103|BNI-CHIKV_899|Mauritius|2006,2006,Mauritius,Mauritius,Mauritius,Other,Indian_Ocean_islands
CHIKV|FJ807899|0810bTw|Malaysia|2008,2008,Malaysia,Malaysia,Malaysia,Other,Southeast_Asia
CHIKV|FJ807898|0810aTw|Bangladesh|2008,2008,Bangladesh,Bangladesh,Bangladesh,Other,Indian_subcontinent
CHIKV|FJ807896|0611aTw|Singapore|2006,2006,Singapore,Singapore,Singapore,Other,Southeast_Asia
CHIKV|FJ000069|IND-KR52|India_Kerala|2007-06,2007-06,Kerala|India,India,India,Other,Indian_subcontinent
CHIKV|FJ000068|IND-KA51|India_Karnataka|2006-08,2006-08,Karnataka|India,India,India,Other,Indian_subcontinent
CHIKV|FJ000067|IND-MH51|India_Maharashtra|2006-08,2006-08,Maharashtra|India,India,India,Other,Indian_subcontinent
CHIKV|FJ000066|IND-KR51|India_Kerala|2006-09,2006-09,Kerala|India,India,India,Other,Indian_subcontinent
CHIKV|FJ000065|IND-GJ53|India_Gujarat|2006-09,2006-09,Gujarat|India,India,India,Other,Indian_subcontinent
CHIKV|FJ000064|IND-GJ51|India_Gujarat|2006-09,2006-09,Gujarat|India,India,India,Other,Indian_subcontinent
CHIKV|FJ000063|IND-KA52|India_Karnataka|2006-10,2006-10,Karnataka|India,India,India,Other,Indian_subcontinent
CHIKV|FJ000062|IND-GJ52|India_Gujarat|2006-09,2006-09,Gujarat|India,India,India,Other,Indian_subcontinent
CHIKV|EU564335|CHIK31|India_Rajasthan|2006-10-31,2006-10-31,Rajasthan|India,India,India,Other,Indian_subcontinent
CHIKV|EU564334|TM25|Mauritius|2006-02-14,2006-02-14,Mauritius,Mauritius,Mauritius,Other,Indian_Ocean_islands
CHIKV|EU372006|DRDE-07|India_Kerala|2007-06-11,2007-06-11,Kerala|India,India,India,Other,Indian_subcontinent
CHIKV|EF210157|DRDE-06_DRDEHydISW06|India|2006,2006,India,India,India,Other,Indian_subcontinent
CHIKV|EF027138|IND-06-TN1|India|2006,2006,India,India,India,Other,Indian_subcontinent
CHIKV|EF027137|IND-06-RJ1|India|2006,2006,India,India,India,Other,Indian_subcontinent
CHIKV|EF027136|IND-06-MH2|India|2006,2006,India,India,India,Other,Indian_subcontinent
CHIKV|EF027135|IND-06-KA15|India|2006,2006,India,India,India,Other,Indian_subcontinent
CHIKV|EF027134|IND-06-AP3|India|2006,2006,India,India,India,Other,Indian_subcontinent
CHIKV|EF012359|D570_06|Mauritius|2006,2006,Mauritius,Mauritius,Mauritius,Other,Indian_Ocean_islands
CHIKV|DQ443544|LR2006_OPY1|Reunion|2006,2006,Reunion,Reunion,Reunion,Other,Indian_Ocean_islands
CHIKV|AM258995|05-061|Reunion_from_Comoros|2005-03-16,2005-03-16,La_Reunion_import|Comoros,Comoros,Comoros,Other,Indian_Ocean_islands
CHIKV|AM258994|06-049|Reunion|2005-12-02,2005-12-02,La_Reunion|France,France,La_Reunion,Other,Indian_Ocean_islands
CHIKV|AM258993|06-027|Reunion|2005-11-29,2005-11-29,La_Reunion|France,France,La_Reunion,Other,Indian_Ocean_islands
CHIKV|AM258992|06-021|Reunion|2005-11-28,2005-11-28,La_Reunion|France,France,La_Reunion,Other,Indian_Ocean_islands
CHIKV|AM258991|05-209|Seychelles|2005-08-09,2005-08-09,Seychelles,Seychelles,Seychelles,Other,Indian_Ocean_islands
CHIKV|AM258990|05-115|Reunion|2005-05-06,2005-05-06,La_Reunion|France,France,La_Reunion,Other,Indian_Ocean_islands
CHIKV|KT449801|LR2006_OPY1|Reunion|2006,2006,La_Reunion|France,France,La_Reunion,Other,Indian_Ocean_islands
CHIKV|KT336782|RGCB1431_13|India_Kumily_Kerala|2013-05-27,2013-05-27,Kumily_Kerala|India,India,India,Other,Indian_subcontinent
CHIKV|KT336781|RGCB1356_13|India_Kumily_Kerala|2013-03-06,2013-03-06,Kumily_Kerala|India,India,India,Other,Indian_subcontinent
CHIKV|KT336780|RGCB1264_12|India_Anchuthengu_Kerala|2012-08-03,2012-08-03,Anchuthengu_Kerala|India,India,India,Other,Indian_subcontinent
CHIKV|KT336779|RGCB1259_12|India_Thiruvananthapuram_Kerala|2012-08-03,2012-08-03,Thiruvananthapuram_Kerala|India,India,India,Other,Indian_subcontinent
CHIKV|KT336778|RGCB855_10|India_Thiruvananthapuram_Kerala|2010-07-16,2010-07-16,Thiruvananthapuram_Kerala|India,India,India,Other,Indian_subcontinent
CHIKV|KT336777|RGCB711_09|India_Kozhikkode_Kerala|2009-04-08,2009-04-08,Kozhikkode_Kerala|India,India,India,Other,Indian_subcontinent
CHIKV|KP003809|OPY4|Mayotte|2006,2006,Mayotte,Mayotte,Mayotte,Other,Indian_Ocean_islands
CHIKV|KP003808|MADOPY1|Madagascar|2006,2006,Madagascar,Madagascar,Madagascar,Other,Africa
CHIKV|KJ679578|CHIKV_STMWG02|India|2011-12-21,2011-12-21,India,India,India,Other,Indian_subcontinent
CHIKV|KF283986|L2|Comoros_Grande_Island|2005,2005,Grande_Island|Comoros,Comoros,Comoros,Other,Indian_Ocean_islands
CHIKV|KC614648|Yem-11|Yemen_Al_Hodayda_Al_Khawkha_district|2011-01-25,2011-01-25,Al_Hodayda_Al_Khawkha_district|Yemen,Yemen,Yemen,Other,Middle_East
CHIKV|HQ456255|Lamu33|Kenya|2004-07,2004-07,Kenya,Kenya,Kenya,Other,Africa
CHIKV|HQ456254|KPA15|Kenya_Mombasa|2004-10,2004-10,Mombasa|Kenya,Kenya,Kenya,Other,Africa
CHIKV|HQ456253|Com125|Comoros|2005-03,2005-03,Comoros,Comoros,Comoros,Other,Indian_Ocean_islands
CHIKV|HQ456252|COMJ|Comoros|2005-03,2005-03,Comoros,Comoros,Comoros,Other,Indian_Ocean_islands
CHIKV|HQ456251|Com25|Comoros|2005-03,2005-03,Comoros,Comoros,Comoros,Other,Indian_Ocean_islands
CHIKV|HM045801|SL-CK1|Sri_Lanka|2007,2007,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|HM045799|SL-CR_3|Sri_Lanka|2007,2007,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513675|LKEHCH18608|Sri_Lanka|2008-04,2008-04,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513673|LKEHCH17708|Sri_Lanka|2008-04,2008-04,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513657|LKEHCH7708|Sri_Lanka|2008-04,2008-04,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513654|LKEHCH6708|Sri_Lanka|2008-04,2008-04,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513645|LKEHCH4408|Sri_Lanka|2008-04,2008-04,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513637|LKPBCH5808|Sri_Lanka|2008-03,2008-03,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513635|LKPBCH5308|Sri_Lanka|2008-03,2008-03,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513632|LKPBCH3008|Sri_Lanka|2008-03,2008-03,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513629|LKPBCH1608|Sri_Lanka|2008-03,2008-03,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ513628|LKPBCH1008|Sri_Lanka|2008-03,2008-03,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ445428|LKRGCH1507|Sri_Lanka|2007-05,2007-05,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ445427|LKMTCH2707|Sri_Lanka|2007-07,2007-07,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
